#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"
BHO		="countries/Bhopal.txt"
BIK		="countries/Bikaner.txt"
BUN		="countries/Bundelkhand.txt"
GWA		="countries/Gwailor.txt"
HYD		="countries/Hyderabad.txt"
IND		="countries/Indore.txt"
JAI		="countries/Jaipur.txt"
JAS		="countries/Jaisalmer.txt"
JOD		="countries/Jodhpur.txt"
KAL		="countries/Kalat.txt"
KAS		="countries/Kashmir.txt"
KUT		="countries/Kutch.txt"
LAD		="countries/Ladakh.txt"
MAK		="countries/Makran.txt"
MEW		="countries/Mewar.txt"
MYS		="countries/Mysore.txt"
NAG		="countries/Nagpur.txt"
NEP		="countries/Nepal.txt"
ORI		="countries/Orissa.txt"
PAN		="countries/Panjab.txt"
SHI		="countries/Shimla.txt"
SIK		="countries/Sikkim.txt"
SIN		="countries/Sind.txt"
TRA		="countries/Travancore.txt"

# Eastern Asia
ATJ		="countries/Atjeh.txt"
BAL		="countries/Bali.txt"
BHU		="countries/Bhutan.txt"
BRU		="countries/Brunei.txt"
BUR		="countries/Burma.txt"
CAM		="countries/Cambodia.txt"
CHI		="countries/China.txt"
DAI		="countries/Dai Viet.txt"
JAV		="countries/Java.txt"
KOR		="countries/Korea.txt"
LUA		="countries/Luang Prabang.txt"
JOH		="countries/Johore.txt"
SIA		="countries/Siam.txt"
TIB		="countries/Tibet.txt"
MGL		="countries/Mongolia.txt"
WIA		="countries/Wiang Chhan.txt"
PHI		="countries/Philippines.txt"
MCK		="countries/Manchukuo.txt"
GXI		="countries/Guangxi Clique.txt"
SXI		="countries/Shanxi.txt"
YNN		="countries/Yunnan.txt"
XBI		="countries/Xibei San Ma.txt"
XIN		="countries/Xinjiang.txt"

# North America
CAL		="countries/Californian Republic.txt"
CAN		="countries/Canada.txt"
CHE		="countries/Cherokee.txt"
COL		="countries/Columbia.txt"
COS		="countries/Costa Rica.txt"
CSA		="countries/CSA.txt"
CUB		="countries/Cuba.txt"
DES		="countries/Deseret.txt"
DOM		="countries/Dominican Republic.txt"
ELS		="countries/El Salvador.txt"
GUA		="countries/Guatemala.txt"
HAI		="countries/Haiti.txt"
HAW		="countries/Hawaii.txt"
MAN		="countries/Manhattan Commune.txt"
MEX		="countries/Mexico.txt"
MTC		="countries/Metis Confederacy.txt"
HON		="countries/Honduras.txt"
NEN		="countries/New England.txt"
NEW		="countries/Newfoundland.txt"
NIC		="countries/Nicaragua.txt"
PNM		="countries/Panama.txt"
QUE		="countries/Quebec.txt"
TEX		="countries/Texas.txt"
UCA		="countries/United States of Central America.txt"

# South America
ARG		="countries/Argentina.txt"
BOL		="countries/Bolivia.txt"
BRZ		="countries/Brazil.txt"
CHL		="countries/Chile.txt"
CLM		="countries/Colombia.txt"
ECU		="countries/Ecuador.txt"
PEU		="countries/Peru.txt"
PRG		="countries/Paraguay.txt"
URU		="countries/Uruguay.txt"
VNZ		="countries/Venezuela.txt"

# Australasia
AST		="countries/Australia.txt"
NZL		="countries/New Zealand.txt"


#new for 1.2
ISR		="countries/Israel.txt"
BYZ		="countries/Byzantium.txt"
ICL		="countries/Iceland.txt"
BAB		="countries/Babylonia.txt"

#new for AHD
TPG		="countries/Taiping.txt"

#AHD 2.3
ARA		="countries/Arabia.txt"
UBD		= "countries/United Baltic Provinces.txt"
BYE		= "countries/Belarus.txt"
PLC		= "countries/Poland-Lithuania.txt"
GCO		="countries/Gran Colombia.txt"

##HoD
JAN 	= "countries/JanMayen.txt"

## Open V2
YYA 	= "countries/YYA.txt"
YYB 	= "countries/YYB.txt"
YYC 	= "countries/YYC.txt"
YYD 	= "countries/YYD.txt"
YYE 	= "countries/YYE.txt"
YYF 	= "countries/YYF.txt"
YYG 	= "countries/YYG.txt"
YYH 	= "countries/YYH.txt"
YYI 	= "countries/YYI.txt"
YYJ 	= "countries/YYJ.txt"
YYK 	= "countries/YYK.txt"
YYL 	= "countries/YYL.txt"
YYM 	= "countries/YYM.txt"
YYN 	= "countries/YYN.txt"
YYO 	= "countries/YYO.txt"
YYP 	= "countries/YYP.txt"
YYQ 	= "countries/YYQ.txt"
YYR 	= "countries/YYR.txt"
YYS 	= "countries/YYS.txt"
YYT 	= "countries/YYT.txt"
YYU 	= "countries/YYU.txt"
YYV 	= "countries/YYV.txt"
YYW 	= "countries/YYW.txt"
YYX 	= "countries/YYX.txt"
YYY 	= "countries/YYY.txt"
YYZ 	= "countries/YYZ.txt"
YZA 	= "countries/YZA.txt"
YZB 	= "countries/YZB.txt"
YZC 	= "countries/YZC.txt"
YZD 	= "countries/YZD.txt"
YZE 	= "countries/YZE.txt"
YZF 	= "countries/YZF.txt"
YZG 	= "countries/YZG.txt"
YZH 	= "countries/YZH.txt"
YZI 	= "countries/YZI.txt"
YZJ 	= "countries/YZJ.txt"
YZK 	= "countries/YZK.txt"
YZL 	= "countries/YZL.txt"
YZM 	= "countries/YZM.txt"
YZN 	= "countries/YZN.txt"
YZO 	= "countries/YZO.txt"
YZP 	= "countries/YZP.txt"
YZQ 	= "countries/YZQ.txt"
YZR 	= "countries/YZR.txt"
YZS 	= "countries/YZS.txt"
YZT 	= "countries/YZT.txt"
YZU 	= "countries/YZU.txt"
YZV 	= "countries/YZV.txt"
YZW 	= "countries/YZW.txt"
YZX 	= "countries/YZX.txt"
YZY 	= "countries/YZY.txt"
YZZ 	= "countries/YZZ.txt"
YXA 	= "countries/YXA.txt"
YXB 	= "countries/YXB.txt"
YXC 	= "countries/YXC.txt"
YXD 	= "countries/YXD.txt"
YXE 	= "countries/YXE.txt"
YXF 	= "countries/YXF.txt"
YXG 	= "countries/YXG.txt"
YAA 	= "countries/YAA.txt"
YAB 	= "countries/YAB.txt"
YAC 	= "countries/YAC.txt"
YAD 	= "countries/YAD.txt"
YAE 	= "countries/YAE.txt"
YAF 	= "countries/YAF.txt"
YAG 	= "countries/YAG.txt"
YAH 	= "countries/YAH.txt"
YAI 	= "countries/YAI.txt"
YAJ 	= "countries/YAJ.txt"
YAK 	= "countries/YAK.txt"
YAL 	= "countries/YAL.txt"
YAM 	= "countries/YAM.txt"
YAN 	= "countries/YAN.txt"
YAO 	= "countries/YAO.txt"
YAP 	= "countries/YAP.txt"
YAQ 	= "countries/YAQ.txt"
YAR 	= "countries/YAR.txt"
YAS 	= "countries/YAS.txt"
YAT 	= "countries/YAT.txt"
YAU 	= "countries/YAU.txt"
YAV 	= "countries/YAV.txt"
YAW 	= "countries/YAW.txt"
YAX 	= "countries/YAX.txt"
YAY 	= "countries/YAY.txt"
YAZ 	= "countries/YAZ.txt"
YBA 	= "countries/YBA.txt"
YBB 	= "countries/YBB.txt"
YBC 	= "countries/YBC.txt"
YBD 	= "countries/YBD.txt"
YBE 	= "countries/YBE.txt"
YBF 	= "countries/YBF.txt"
YBG 	= "countries/YBG.txt"
YBH 	= "countries/YBH.txt"
YBI 	= "countries/YBI.txt"
YBJ 	= "countries/YBJ.txt"
YBK 	= "countries/YBK.txt"
YBL 	= "countries/YBL.txt"
YBM 	= "countries/YBM.txt"
YBN 	= "countries/YBN.txt"
YBO 	= "countries/YBO.txt"
YBP 	= "countries/YBP.txt"
YBQ 	= "countries/YBQ.txt"
YBR 	= "countries/YBR.txt"
YBS 	= "countries/YBS.txt"
YBT 	= "countries/YBT.txt"
YBU 	= "countries/YBU.txt"
YBV 	= "countries/YBV.txt"
YBW 	= "countries/YBW.txt"
YBX 	= "countries/YBX.txt"
YBY 	= "countries/YBY.txt"
YBZ 	= "countries/YBZ.txt"
YCA 	= "countries/YCA.txt"
YCB 	= "countries/YCB.txt"
YCC 	= "countries/YCC.txt"
YCD 	= "countries/YCD.txt"
YCE 	= "countries/YCE.txt"
YCF 	= "countries/YCF.txt"
YCG 	= "countries/YCG.txt"
YCH 	= "countries/YCH.txt"
YCI 	= "countries/YCI.txt"
YCJ 	= "countries/YCJ.txt"
YCK 	= "countries/YCK.txt"
YCL 	= "countries/YCL.txt"
YCM 	= "countries/YCM.txt"
YCN 	= "countries/YCN.txt"
YCO 	= "countries/YCO.txt"
YCP 	= "countries/YCP.txt"
YCQ 	= "countries/YCQ.txt"
YCR 	= "countries/YCR.txt"
YCS 	= "countries/YCS.txt"
YCT 	= "countries/YCT.txt"
YCU 	= "countries/YCU.txt"
YCV 	= "countries/YCV.txt"
YCW 	= "countries/YCW.txt"
YCX 	= "countries/YCX.txt"
YCY 	= "countries/YCY.txt"
YCZ 	= "countries/YCZ.txt"
YDA 	= "countries/YDA.txt"
YDB 	= "countries/YDB.txt"
YDC 	= "countries/YDC.txt"
YDD 	= "countries/YDD.txt"
YDE 	= "countries/YDE.txt"
YDF 	= "countries/YDF.txt"
YDG 	= "countries/YDG.txt"
YDH 	= "countries/YDH.txt"
YDI 	= "countries/YDI.txt"
YDJ 	= "countries/YDJ.txt"
YDK 	= "countries/YDK.txt"
YDL 	= "countries/YDL.txt"
YDM 	= "countries/YDM.txt"
YDN 	= "countries/YDN.txt"
YDO 	= "countries/YDO.txt"
YDP 	= "countries/YDP.txt"
YDQ 	= "countries/YDQ.txt"
YDR 	= "countries/YDR.txt"
YDS 	= "countries/YDS.txt"
YDT 	= "countries/YDT.txt"
YDU 	= "countries/YDU.txt"
YDV 	= "countries/YDV.txt"
YDW 	= "countries/YDW.txt"
YDX 	= "countries/YDX.txt"
YDY 	= "countries/YDY.txt"
YDZ 	= "countries/YDZ.txt"
YFA 	= "countries/YFA.txt"
YFB 	= "countries/YFB.txt"
YFC 	= "countries/YFC.txt"
YFD 	= "countries/YFD.txt"
YFE 	= "countries/YFE.txt"
YFF 	= "countries/YFF.txt"
YFG 	= "countries/YFG.txt"
YFH 	= "countries/YFH.txt"
YFI 	= "countries/YFI.txt"
YFJ 	= "countries/YFJ.txt"
YFK 	= "countries/YFK.txt"
YFL 	= "countries/YFL.txt"
YFM 	= "countries/YFM.txt"
YFN 	= "countries/YFN.txt"
YFO 	= "countries/YFO.txt"
YFP 	= "countries/YFP.txt"
YFQ 	= "countries/YFQ.txt"
YFR 	= "countries/YFR.txt"
YFS 	= "countries/YFS.txt"
YFT 	= "countries/YFT.txt"
YFU 	= "countries/YFU.txt"
YFV 	= "countries/YFV.txt"
YFW 	= "countries/YFW.txt"
YFX 	= "countries/YFX.txt"
YFY 	= "countries/YFY.txt"
YFZ 	= "countries/YFZ.txt"
YGA 	= "countries/YGA.txt"
YGB 	= "countries/YGB.txt"

##HoD Dominions
dynamic_tags  = yes # any tags after this is considered dynamic dominions
D01		= "countries/D01.txt"
D02		= "countries/D02.txt"
D03		= "countries/D03.txt"
D04		= "countries/D04.txt"
D05		= "countries/D05.txt"
D06		= "countries/D06.txt"
D07		= "countries/D07.txt"
D08		= "countries/D08.txt"
D09		= "countries/D09.txt"
D10		= "countries/D10.txt"
D11		= "countries/D11.txt"
D12		= "countries/D12.txt"
D13		= "countries/D13.txt"
D14		= "countries/D14.txt"
D15		= "countries/D15.txt"
D16		= "countries/D16.txt"
D17		= "countries/D17.txt"
D18		= "countries/D18.txt"
D19		= "countries/D19.txt"
D20		= "countries/D20.txt"
D21		= "countries/D21.txt"
D22		= "countries/D22.txt"
D23		= "countries/D23.txt"
D24		= "countries/D24.txt"
D25		= "countries/D25.txt"
D26		= "countries/D26.txt"
D27		= "countries/D27.txt"
D28		= "countries/D28.txt"
D29		= "countries/D29.txt"
D30		= "countries/D30.txt"
D31		= "countries/D31.txt"
D32		= "countries/D32.txt"
D33		= "countries/D33.txt"
D34		= "countries/D34.txt"
D35		= "countries/D35.txt"
D36		= "countries/D36.txt"
D37		= "countries/D37.txt"
D38		= "countries/D38.txt"
D39		= "countries/D39.txt"
D40		= "countries/D40.txt"
D41		= "countries/D41.txt"
D42		= "countries/D42.txt"
D43		= "countries/D43.txt"
D44		= "countries/D44.txt"
D45		= "countries/D45.txt"
D46		= "countries/D46.txt"
D47		= "countries/D47.txt"
D48		= "countries/D48.txt"
D49		= "countries/D49.txt"
D50		= "countries/D50.txt"
